Date,Home Team,Home Conference,Home Division,Home Score,Visitor Team,Visitor Conference,Visitor Division,Visitor Score,Post Season,Season
1992-11-07,Washington Wizards,East,Southeast,98,Orlando Magic,East,Southeast,103,FALSE,1992
1992-11-08,Portland Trail Blazers,West,Northwest,123,Denver Nuggets,West,Northwest,104,FALSE,1992
1992-11-09,Chicago Bulls,East,Central,102,Indiana Pacers,East,Central,97,FALSE,1992
1993-03-29,Utah Jazz,West,Northwest,101,Denver Nuggets,West,Northwest,114,FALSE,1992
1993-03-30,Brooklyn Nets,East,Atlantic,91,Philadelphia 76ers,East,Atlantic,77,FALSE,1992
1993-03-31,Indiana Pacers,East,Central,114,Washington Wizards,East,Southeast,95,FALSE,1992
1993-04-02,Indiana Pacers,East,Central,118,Orlando Magic,East,Southeast,102,FALSE,1992
1993-04-04,Indiana Pacers,East,Central,100,Phoenix Suns,West,Pacific,110,FALSE,1992
1993-04-06,Milwaukee Bucks,East,Central,113,Chicago Bulls,East,Central,109,FALSE,1992
1993-04-08,Golden State Warriors,West,Pacific,122,Los Angeles Lakers,West,Pacific,116,FALSE,1992
1993-04-09,Phoenix Suns,West,Pacific,98,Denver Nuggets,West,Northwest,97,FALSE,1992
1993-04-10,Golden State Warriors,West,Pacific,100,Dallas Mavericks,West,Southwest,94,FALSE,1992
1993-04-10,Houston Rockets,West,Southwest,98,San Antonio Spurs,West,Southwest,88,FALSE,1992
1993-04-11,Phoenix Suns,West,Pacific,112,Utah Jazz,West,Northwest,92,FALSE,1992
1993-04-12,Detroit Pistons,East,Central,95,Chicago Bulls,East,Central,98,FALSE,1992
1993-04-13,Boston Celtics,East,Atlantic,96,Indiana Pacers,East,Central,90,FALSE,1992
1993-04-13,Orlando Magic,East,Southeast,110,Milwaukee Bucks,East,Central,91,FALSE,1992
1993-04-14,Phoenix Suns,West,Pacific,98,Minnesota Timberwolves,West,Northwest,84,FALSE,1992
1993-04-14,Detroit Pistons,East,Central,87,Atlanta Hawks,East,Southeast,84,FALSE,1992
1993-04-15,Philadelphia 76ers,East,Atlantic,101,Orlando Magic,East,Southeast,85,FALSE,1992
1993-04-16,LA Clippers,West,Pacific,122,Golden State Warriors,West,Pacific,115,FALSE,1992
1993-04-16,Indiana Pacers,East,Central,100,New York Knicks,East,Atlantic,94,FALSE,1992
1993-04-17,Miami Heat,East,Southeast,100,Boston Celtics,East,Atlantic,103,FALSE,1992
1993-04-18,Milwaukee Bucks,East,Central,98,Indiana Pacers,East,Central,108,FALSE,1992
1993-04-20,Minnesota Timberwolves,West,Northwest,95,Los Angeles Lakers,West,Pacific,107,FALSE,1992
1993-04-20,Atlanta Hawks,East,Southeast,111,Indiana Pacers,East,Central,102,FALSE,1992
1993-04-21,Philadelphia 76ers,East,Atlantic,107,Miami Heat,East,Southeast,97,FALSE,1992
1993-04-21,Golden State Warriors,West,Pacific,132,Sacramento Kings,West,Pacific,105,FALSE,1992
1993-04-22,Chicago Bulls,East,Central,109,Detroit Pistons,East,Central,103,FALSE,1992
1993-04-22,LA Clippers,West,Pacific,98,Oklahoma City Thunder,West,Northwest,100,FALSE,1992
1993-04-23,Detroit Pistons,East,Central,109,Indiana Pacers,East,Central,104,FALSE,1992
1993-04-23,Philadelphia 76ers,East,Atlantic,84,New York Knicks,East,Atlantic,99,FALSE,1992
1993-04-24,Orlando Magic,East,Southeast,104,Atlanta Hawks,East,Southeast,85,FALSE,1992
1993-04-25,Detroit Pistons,East,Central,116,Brooklyn Nets,East,Atlantic,110,FALSE,1992
1993-04-25,Minnesota Timberwolves,West,Northwest,113,Utah Jazz,West,Northwest,107,FALSE,1992
1994-02-15,Minnesota Timberwolves,West,Northwest,97,Milwaukee Bucks,East,Central,90,FALSE,1993
1994-02-16,Sacramento Kings,West,Pacific,94,Philadelphia 76ers,East,Atlantic,92,FALSE,1993
1994-02-17,Dallas Mavericks,West,Southwest,73,Indiana Pacers,East,Central,84,FALSE,1993
1994-02-18,Sacramento Kings,West,Pacific,90,Utah Jazz,West,Northwest,81,FALSE,1993
1994-02-20,Portland Trail Blazers,West,Northwest,102,Boston Celtics,East,Atlantic,93,FALSE,1993
1994-02-22,Brooklyn Nets,East,Atlantic,97,Miami Heat,East,Southeast,123,FALSE,1993
1994-02-23,Philadelphia 76ers,East,Atlantic,102,Brooklyn Nets,East,Atlantic,106,FALSE,1993
1994-02-24,Sacramento Kings,West,Pacific,102,Los Angeles Lakers,West,Pacific,90,FALSE,1993
1994-02-25,Utah Jazz,West,Northwest,107,Phoenix Suns,West,Pacific,87,FALSE,1993
1994-12-28,Oklahoma City Thunder,West,Northwest,121,Philadelphia 76ers,East,Atlantic,102,FALSE,1994
1994-12-29,Houston Rockets,West,Southwest,126,Golden State Warriors,West,Pacific,124,FALSE,1994
1994-12-30,Utah Jazz,West,Northwest,103,Houston Rockets,West,Southwest,111,FALSE,1994
1995-01-04,Charlotte Hornets,East,Southeast,118,Portland Trail Blazers,West,Northwest,106,FALSE,1994
1995-01-05,Houston Rockets,West,Southwest,108,Dallas Mavericks,West,Southwest,99,FALSE,1994
1995-01-06,Brooklyn Nets,East,Atlantic,88,Charlotte Hornets,East,Southeast,89,FALSE,1994
1995-01-07,Utah Jazz,West,Northwest,111,Philadelphia 76ers,East,Atlantic,90,FALSE,1994
1995-01-11,Charlotte Hornets,East,Southeast,100,Minnesota Timberwolves,West,Northwest,91,FALSE,1994
1995-01-13,Minnesota Timberwolves,West,Northwest,104,Detroit Pistons,East,Central,92,FALSE,1994
1995-01-14,Orlando Magic,East,Southeast,91,Philadelphia 76ers,East,Atlantic,70,FALSE,1994
1995-01-15,Oklahoma City Thunder,West,Northwest,131,Portland Trail Blazers,West,Northwest,124,FALSE,1994
1995-01-16,Philadelphia 76ers,East,Atlantic,110,Detroit Pistons,East,Central,116,FALSE,1994
1995-01-18,Miami Heat,East,Southeast,121,Boston Celtics,East,Atlantic,93,FALSE,1994
1995-01-20,LA Clippers,West,Pacific,97,Portland Trail Blazers,West,Northwest,108,FALSE,1994
1995-01-24,Orlando Magic,East,Southeast,110,Boston Celtics,East,Atlantic,97,FALSE,1994
1995-01-27,Charlotte Hornets,East,Southeast,105,New York Knicks,East,Atlantic,90,FALSE,1994
1995-01-28,Oklahoma City Thunder,West,Northwest,121,Los Angeles Lakers,West,Pacific,128,FALSE,1994
1995-11-04,Oklahoma City Thunder,West,Northwest,103,Los Angeles Lakers,West,Pacific,89,FALSE,1995
1995-11-05,Sacramento Kings,West,Pacific,99,LA Clippers,West,Pacific,82,FALSE,1995
1995-11-07,Philadelphia 76ers,East,Atlantic,106,Sacramento Kings,West,Pacific,109,FALSE,1995
1995-11-18,Washington Wizards,East,Southeast,102,Toronto Raptors,East,Atlantic,103,FALSE,1995
1996-02-13,Sacramento Kings,West,Pacific,90,Minnesota Timberwolves,West,Northwest,94,FALSE,1995
1996-02-16,Oklahoma City Thunder,West,Northwest,117,Phoenix Suns,West,Pacific,99,FALSE,1995
1996-02-17,Detroit Pistons,East,Central,108,Toronto Raptors,East,Atlantic,95,FALSE,1995
1996-02-18,Memphis Grizzlies,West,Southwest,109,Oklahoma City Thunder,West,Northwest,118,FALSE,1995
1996-02-19,Detroit Pistons,East,Central,113,Minnesota Timberwolves,West,Northwest,83,FALSE,1995
1996-02-20,Chicago Bulls,East,Central,102,Cleveland Cavaliers,East,Central,76,FALSE,1995
1996-02-21,Philadelphia 76ers,East,Atlantic,57,Miami Heat,East,Southeast,66,FALSE,1995
1996-02-23,New York Knicks,East,Atlantic,97,Atlanta Hawks,East,Southeast,108,FALSE,1995
1996-02-24,Denver Nuggets,West,Northwest,99,Utah Jazz,West,Northwest,90,FALSE,1995
1996-02-25,Miami Heat,East,Southeast,108,Philadelphia 76ers,East,Atlantic,101,FALSE,1995
1996-02-25,Brooklyn Nets,East,Atlantic,111,Boston Celtics,East,Atlantic,105,FALSE,1995
1996-02-26,Los Angeles Lakers,West,Pacific,114,New York Knicks,East,Atlantic,96,FALSE,1995
1996-02-27,Dallas Mavericks,West,Southwest,115,Philadelphia 76ers,East,Atlantic,121,FALSE,1995
1996-02-28,Memphis Grizzlies,West,Southwest,80,Los Angeles Lakers,West,Pacific,99,FALSE,1995
1996-02-29,Denver Nuggets,West,Northwest,120,Dallas Mavericks,West,Southwest,137,FALSE,1995
1996-03-01,Utah Jazz,West,Northwest,99,New York Knicks,East,Atlantic,88,FALSE,1995
1996-03-02,Chicago Bulls,East,Central,107,Boston Celtics,East,Atlantic,75,FALSE,1995
1996-03-03,Cleveland Cavaliers,East,Central,89,Toronto Raptors,East,Atlantic,100,FALSE,1995
1996-03-04,Memphis Grizzlies,West,Southwest,81,Washington Wizards,East,Southeast,96,FALSE,1995
1996-03-05,Portland Trail Blazers,West,Northwest,93,Houston Rockets,West,Southwest,100,FALSE,1995
1996-11-01,Boston Celtics,East,Atlantic,98,Chicago Bulls,East,Central,107,FALSE,1996
